Client,Style,Fabric usage,pcs/carton,volume,weight,material
RITEMATE,RMPC014,,20,0.0624,13,"98% Cotton, 2% elastane twill, 12X16+70D 75X56"
RITEMATE,RMPC015,,20,0.0624,13,"98% Cotton, 2% elastane twill, 12X16+70D 75X56"
RITEMATE,RMPC017,,16,0.041125,,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RMPC018,,16,0.04277,,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RMPC017S,,16,0.041125,,"100% Cotton Poplin, 50x050 / 144x80, 105gsm"
RITEMATE,RMPC019,,20,0.041125,,100% cotton Pique combed 220gsm Enzyme wash + tender hand feel
RITEMATE,RMPC020,,20,0.041125,,100% cotton Pique combed 220gsm Enzyme wash + tender hand feel
RITEMATE,RMPC021,,20,0.041125,,100% cotton Pique combed 220gsm Enzyme wash + tender hand feel
RITEMATE,RMPC022,,20,0.041125,,100% cotton Pique combed 220gsm Enzyme wash + tender hand feel
RITEMATE,RMPC023,,12,0.0945,11,"98% Cotton, 2% elastane twill, 12X16+70D 75X56"
RITEMATE,RMPC024,,10,0.07581,11,Shell - 100% Polyester Micro Fibre ; Padding -100% Polyfill 200gsm
RITEMATE,RMPC025,,10,0.07581,11,Shell - 100% Polyester Micro Fibre ; Padding -100% Polyfill 200gsm
RITEMATE,RM4245,,40,0.0324,6.5,100% Polyester Warp Knit
RITEMATE,RM4245T,,40,0.0324,6.5,100% Polyester Warp Knit
RITEMATE,RM2346S,,30,0.06,13,52% cotton back 48% polyester face 180gsm Hydrophilic Finish
RITEMATE,RM2346,,25,0.06,13,52% cotton back 48% polyester face 180gsm Hydrophilic Finish
RITEMATE,RM3122,,30,0.06,13,52% cotton back 48% polyester face 180gsm Hydrophilic Finish
RITEMATE,RM6012,,18,0.06,13,"100%polyester on face, 80/20 T/C back fleece, 300gsm"
RITEMATE,RM6012R,,16,0.06,13,"100%polyester on face, 80/20 T/C back fleece, 300gsm"
RITEMATE,RM1000,,20,0.041125,11,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1000S,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM100CF,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM100CFS,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM105CF,,20,0.041125,11,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM105CFS,,20,0.041125,11,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM105CFR,,20,0.041125,11,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1040R,,20,0.041125,11,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1040,,20,0.041125,12,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM104CFR,,20,0.041125,11,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1050R,,20,0.041125,12,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1050RS,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1050,,20,0.041125,12,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1050S,,20,0.041125,10,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM4050R,,40,0.041125,12,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM106XR,,20,0.041125,11,100% COTTON TWILL 20X20 108X56 190gsm
